julienledem,watcher,https://github.com/apache/parquet-java/issues/1383,I_kwDOATt8NM6NJZAb,PARQUET-1
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1384,I_kwDOATt8NM6NJZAf,PARQUET-2
julienledem,watcher,https://github.com/apache/parquet-java/issues/1384,I_kwDOATt8NM6NJZAf,PARQUET-2
cristianopris ,watcher,https://github.com/apache/parquet-java/issues/1384,I_kwDOATt8NM6NJZAf,PARQUET-2
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1389,I_kwDOATt8NM6NJZAz,PARQUET-3
julienledem,watcher,https://github.com/apache/parquet-java/issues/1389,I_kwDOATt8NM6NJZAz,PARQUET-3
matt-martin,watcher,https://github.com/apache/parquet-java/issues/1394,I_kwDOATt8NM6NJZBI,PARQUET-4
julienledem,watcher,https://github.com/apache/parquet-java/issues/1394,I_kwDOATt8NM6NJZBI,PARQUET-4
sryza,watcher,https://github.com/apache/parquet-java/issues/1397,I_kwDOATt8NM6NJZBb,PARQUET-5
rdblue,watcher,https://github.com/apache/parquet-java/issues/1397,I_kwDOATt8NM6NJZBb,PARQUET-5
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1400,I_kwDOATt8NM6NJZBp,PARQUET-6
julienledem,watcher,https://github.com/apache/parquet-java/issues/1400,I_kwDOATt8NM6NJZBp,PARQUET-6
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1401,I_kwDOATt8NM6NJZBu,PARQUET-7
abhishekagarwal87,watcher,https://github.com/apache/parquet-java/issues/1401,I_kwDOATt8NM6NJZBu,PARQUET-7
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1402,I_kwDOATt8NM6NJZBz,PARQUET-8
masayuki038,watcher,https://github.com/apache/parquet-java/issues/1402,I_kwDOATt8NM6NJZBz,PARQUET-8
rdblue,watcher,https://github.com/apache/parquet-java/issues/1403,I_kwDOATt8NM6NJZB4,PARQUET-9
tomwhite,watcher,https://github.com/apache/parquet-java/issues/1403,I_kwDOATt8NM6NJZB4,PARQUET-9
jaltekruse,watcher,https://github.com/apache/parquet-java/issues/1404,I_kwDOATt8NM6NJZB_,PARQUET-10
julienledem,watcher,https://github.com/apache/parquet-java/issues/1404,I_kwDOATt8NM6NJZB_,PARQUET-10
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1385,I_kwDOATt8NM6NJZAh,PARQUET-11
jacques-n,watcher,https://github.com/apache/parquet-java/issues/1409,I_kwDOATt8NM6NJZCV,PARQUET-12
rdblue,watcher,https://github.com/apache/parquet-java/issues/1409,I_kwDOATt8NM6NJZCV,PARQUET-12
liancheng,watcher,https://github.com/apache/parquet-java/issues/1386,I_kwDOATt8NM6NJZAl,PARQUET-13
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1386,I_kwDOATt8NM6NJZAl,PARQUET-13
rdblue,watcher,https://github.com/apache/parquet-java/issues/1386,I_kwDOATt8NM6NJZAl,PARQUET-13
abhishekagarwal87,watcher,https://github.com/apache/parquet-java/issues/1410,I_kwDOATt8NM6NJZCY,PARQUET-14
lukasnalezenec,watcher,https://github.com/apache/parquet-java/issues/1410,I_kwDOATt8NM6NJZCY,PARQUET-14
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1417,I_kwDOATt8NM6NJZC2,PARQUET-16
liancheng,watcher,https://github.com/apache/parquet-java/issues/1417,I_kwDOATt8NM6NJZC2,PARQUET-16
nongli,watcher,https://github.com/apache/parquet-java/issues/1387,I_kwDOATt8NM6NJZAo,PARQUET-17
sryza,watcher,https://github.com/apache/parquet-java/issues/1387,I_kwDOATt8NM6NJZAo,PARQUET-17
rdblue,watcher,https://github.com/apache/parquet-java/issues/1419,I_kwDOATt8NM6NJZDE,PARQUET-18
julienledem,watcher,https://github.com/apache/parquet-java/issues/1419,I_kwDOATt8NM6NJZDE,PARQUET-18
matt-martin,watcher,https://github.com/apache/parquet-java/issues/1388,I_kwDOATt8NM6NJZAr,PARQUET-19
julienledem,watcher,https://github.com/apache/parquet-java/issues/1388,I_kwDOATt8NM6NJZAr,PARQUET-19
brockn,watcher,https://github.com/apache/parquet-java/issues/1388,I_kwDOATt8NM6NJZAr,PARQUET-19
julienledem,watcher,https://github.com/apache/parquet-java/issues/1422,I_kwDOATt8NM6NJZDQ,PARQUET-20
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1422,I_kwDOATt8NM6NJZDQ,PARQUET-20
tomwhite,watcher,https://github.com/apache/parquet-java/issues/1427,I_kwDOATt8NM6NJZDi,PARQUET-21
julienledem,watcher,https://github.com/apache/parquet-java/issues/1427,I_kwDOATt8NM6NJZDi,PARQUET-21
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1428,I_kwDOATt8NM6NJZDp,PARQUET-22
julienledem,watcher,https://github.com/apache/parquet-java/issues/1428,I_kwDOATt8NM6NJZDp,PARQUET-22
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1430,I_kwDOATt8NM6NJZD4,PARQUET-23
tomwhite,watcher,https://github.com/apache/parquet-java/issues/1430,I_kwDOATt8NM6NJZD4,PARQUET-23
julienledem,watcher,https://github.com/apache/parquet-java/issues/1430,I_kwDOATt8NM6NJZD4,PARQUET-23
rdblue,watcher,https://github.com/apache/parquet-java/issues/1430,I_kwDOATt8NM6NJZD4,PARQUET-23
julienledem,watcher,https://github.com/apache/parquet-java/issues/1431,I_kwDOATt8NM6NJZD-,PARQUET-24
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1431,I_kwDOATt8NM6NJZD-,PARQUET-24
sryza,watcher,https://github.com/apache/parquet-java/issues/1437,I_kwDOATt8NM6NJZEr,PARQUET-25
jwills,watcher,https://github.com/apache/parquet-java/issues/1437,I_kwDOATt8NM6NJZEr,PARQUET-25
tomwhite,watcher,https://github.com/apache/parquet-java/issues/1437,I_kwDOATt8NM6NJZEr,PARQUET-25
julienledem,watcher,https://github.com/apache/parquet-java/issues/1437,I_kwDOATt8NM6NJZEr,PARQUET-25
rdblue,watcher,https://github.com/apache/parquet-java/issues/1440,I_kwDOATt8NM6NJZE5,PARQUET-26
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1441,I_kwDOATt8NM6NJZE7,PARQUET-27
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1442,I_kwDOATt8NM6NJZE9,PARQUET-28
cristianopris ,watcher,https://github.com/apache/parquet-java/issues/1442,I_kwDOATt8NM6NJZE9,PARQUET-28
pitrou,watcher,https://github.com/apache/parquet-java/issues/1442,I_kwDOATt8NM6NJZE9,PARQUET-28
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1446,I_kwDOATt8NM6NJZFZ,PARQUET-29
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1447,I_kwDOATt8NM6NJZFa,PARQUET-30
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1390,I_kwDOATt8NM6NJZA3,PARQUET-31
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1450,I_kwDOATt8NM6NJZFp,PARQUET-32
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1391,I_kwDOATt8NM6NJZA6,PARQUET-33
dvryaboy,watcher,https://github.com/apache/parquet-java/issues/1391,I_kwDOATt8NM6NJZA6,PARQUET-33
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
phraktle,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
julienledem,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
rdblue,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
danielcweeks,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
wangyum,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
clairemcginty,watcher,https://github.com/apache/parquet-java/issues/1452,I_kwDOATt8NM6NJZFt,PARQUET-34
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1453,I_kwDOATt8NM6NJZF5,PARQUET-35
wangyum,watcher,https://github.com/apache/parquet-java/issues/1453,I_kwDOATt8NM6NJZF5,PARQUET-35
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1392,I_kwDOATt8NM6NJZA-,PARQUET-36
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1455,I_kwDOATt8NM6NJZGC,PARQUET-37
phraktle,watcher,https://github.com/apache/parquet-java/issues/1455,I_kwDOATt8NM6NJZGC,PARQUET-37
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1458,I_kwDOATt8NM6NJZGX,PARQUET-38
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1466,I_kwDOATt8NM6NJZHD,PARQUET-39
rdblue,watcher,https://github.com/apache/parquet-java/issues/1466,I_kwDOATt8NM6NJZHD,PARQUET-39
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1467,I_kwDOATt8NM6NJZHJ,PARQUET-40
sunchao,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
isnotinvain,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
winningsix,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
julienledem,watcher,https://github.com/apache/parquet-java/issues/1468,I_kwDOATt8NM6NJZHP,PARQUET-41
